rating,sentences
0,세상에 날 위한 것은 없다.
0,화해하기 싫다.
0,체육복 놓고와서 짜증났다.
0,선생님한테 혼났다. 왜 나한테만 그러지?
0,친구랑 싸우고 화가 많이 났다.
0,엄마가 잔소리해서 귀찮다.
0,성적이 떨어져서 우울하다.
0,시험을 못봐서 기분이 안좋다.
0,시험 보면서 실수해서 점수가 낮게 나왔다. 짜증난다.
0,친구 때문에 속상하다.
0,친구들이 나를 별로 안좋아하는 것 같다.
0,용돈이 너무 부족하다. 떡볶이도 못 사먹었다.
0,선생님이 나만 미워한다. 맨날 나한테만 뭐라고 한다.
0,너무 우울하다.
0,공부하는 게 힘들고 지친다.
0,공부하기 싫다.
0,내일 시험인데 공부를 못했다. 내 자신한테 화가 난다.
0,시험을 못보면 부모님한테 혼날까봐 무섭다.
0,학원 갔다오면 너무 피곤하다. 할 게 너무 많다.
0,교실에서 떠들어서 선생님한테 혼났다.
0,교실에서 자꾸 떠드는 애가 있다. 공부하는데 방해돼서 짜증났다.
0,점심시간에 누가 나를 밀치고 가서 식판을 쏟았다.
0,어제 잠을 잘 못자서 수업시간에 졸다가 혼났다.
0,며칠째 잠을 제대로 못자서 하루종일 너무 피곤했다.
0,오늘 급식이 맛이 없었다. 급식 먹는 게 삶의 낙인데..
0,날씨가 흐려서 기운이 없다.
0,요새 비가 너무 많이 온다. 우산 들고 다니기 귀찮다.
0,기껏 우산을 들고 왔는데 비가 안온다. 가지고 다니기 귀찮은데..
0,기분이 너무 안좋아서 하루종일 말을 별로 안했다.
0,집에 들어가기 싫다.
0,집에 가면 엄마가 자꾸 귀찮게 한다.
0,엄마가 성적표 가져오라 그랬는데 점수가 너무 낮다.
0,아빠가 때릴까봐 무섭다.
0,아빠가 말대꾸하지 말라고 하면서 화를 냈다. 무서웠다.
0,선생님이 나 좀 도와줬으면 좋겠다.
0,친구들이 나를 피하는 거 같다.
0,친구가 말을 함부로 해서 상처받았다.
0,친구가 자꾸 상처가 되는 말을 한다.
0,그 친구는 나한테 상처만 준다.
0,친구가 밉다.
0,가족이 밉다.
0,선생님이 밉다.
0,친구한테 화를 내고 싶은데 말을 못하겠다.
0,친구가 나를 무시한다.
0,친구가 나를 없는 사람 취급한다.
0,친구가 나한테 왜 그러는지 모르겠다.
0,내가 뭘 그렇게 잘못했지?
0,공부는 왜 해야 되는 걸까? 재미가 하나도 없다.
0,수학 수업 듣기 싫다. 너무 지루하다.
0,나는 과학이 제일 싫다.
0,국어 시간에는 시간이 너무 안간다.
0,국어 선생님이 수업 안듣는다고 뭐라고 했다.
0,팬싸인회 떨어졌다. 우울하다.
0,아무것도 생각하기 싫다.
0,공부는 왜 이렇게 재미가 없을까?
0,학원 가기 싫다.
0,학원이 너무 멀다. 걸어가기 귀찮다.
0,가슴이 답답하다.
0,왜 엄마는 날 이해해주지 못할까?
0,엄마가 밉다.
0,친구가 너무 이기적이다.
0,반 분위기가 별로 안좋다.
0,같은 반 애들이 너무 시끄럽다.
0,반 애들이랑 잘 안맞는 거 같다.
0,반에 시끄러운 애들이 많다.
0,우리 반 애들은 너무 조용해서 재미가 없다.
0,반에 재밌는 친구가 없다.
0,반에 친해지고 싶은 애가 없다.
0,반 배정을 잘못 받은 거 같다.
0,반에 아는 애들이 한 명도 없다.
0,반에 친구가 없어서 외롭다.
0,반에 거슬리는 애가 있다.
0,자꾸 짜증나게 말을 하는 친구가 있다.
0,우리 반 대신 다른 반으로 가고 싶다.
0,담임 선생님이 나를 안좋아한다.
0,담임이 자꾸 나만 혼낸다.
0,담임이 성적 떨어졌다고 혼냈다.
0,담임이 교무실에서 혼냈다.
0,담임 선생님이 교무실로 오라 그래서 무서웠다.
0,친구한테 잘못한 거 같아서 사과하고 싶다.
0,친구한테 미안하다고 했다.
0,친구한테 말이 좀 심했던 거 같다.
0,친구가 나랑 친구하기 싫다고 했다.
0,친구가 내 뒷담화하는 걸 들었다.
0,친구가 다른 애들한테 나를 나쁘게 얘기하고 다닌다.
0,친구가 나를 욕하고 다닌다.
0,친구가 나한테 갑자기 화를 냈다.
0,친구가 나를 귀찮게 한다.
0,선생님이 나한테 관심을 가지는 게 싫다.
0,선생님이랑 대화하고 싶지 않다.
0,선생님이랑 말하면 짜증이 난다.
0,선생님은 너무 꽉막혔다.
0,우리 선생님은 너무 보수적이어서 싫다.
0,담임이 체육복 입고 다닌다고 혼냈다.
0,우리 학교가 싫다.
0,우리 학교는 정말 별로다.
0,우리 학교는 후졌다.
0,학교가 집에서 너무 멀다.
0,학교가 너무 낡았다.
0,교실이 급식실이랑 멀어서 짜증난다.
0,우리 반은 맨날 시끄럽다.
0,우리 반에 노는 애들이 있어서 시끄럽다.
0,급식실에서 새치기하는 애들 짜증난다.
0,급식실이 너무 더럽다.
0,교실이 너무 더럽다.
0,반 애들이 교실 청소를 제대로 안한다.
0,교실 바닥에 휴지가 굴러다닌다.
0,교실에 사물함이 부족하다.
0,교실이 너무 좁다.
0,교실 공기가 너무 답답하다.
0,교실이 너무 더웠다. 학교에서 에어컨을 안 틀어준다.
0,우리 반 선생님은 융통성이 없다.
0,우리 반 선생님은 애들 말을 잘 안듣는다.
0,담임은 엄청 꽉막힌 사람이다.
0,담임이 자꾸 이상한 말만 한다.
0,우리 반 선생님은 학생을 차별한다.
0,담임이 편애하는 친구가 있다.
0,우리 반 담임은 재미도 없고 융통성도 없다.
0,담임 선생님이 유난히 좋아하는 애가 있어서 꼴보기 싫다.
0,담임이 자꾸 편애하는 티를 낸다.
0,선생님은 좋아하는 애만 좋아한다.
0,선생님이 좋아하는 애한테만 성적을 잘 주는 거 같다.
0,친구가 말을 생각 없이 한다.
0,선생님이 수업을 너무 못한다.
0,국어 선생님 목소리가 너무 작아서 뭐라고 하는지 잘 안들린다.
0,자리를 바꿨으면 좋겠다.
0,자리가 너무 앞이라서 부담스럽다.
0,자리가 마음에 안든다.
0,사물함이 너무 멀다.
0,교탁 바로 앞 자리다. 망했다.
0,아무래도 시험을 완전 망친 거 같다.
0,공부를 안했더니 국어 시험을 망쳤다.
0,완전 망한 거 같다.
0,내가 공부를 잘 할 수 있을까?
0,공부 때문에 스트레스 받는다.
0,가족 때문에 스트레스 받는다.
0,선생님이 자꾸 스트레스 받는 말을 한다.
0,요새 맨날 지각한다.
0,어른들이 앞으로 뭐하고 싶냐고 안 물어봤으면 좋겠다.
0,일찍 자려고 하는데 잠이 잘 안 온다.
0,요새 스트레스를 너무 많이 받았다.
0,신경 쓸 일이 너무 많다.
0,가족들이 부담을 준다.
0,앞으로 뭐해먹고 살아야 될지 막막하다.
0,신경 쓰기 싫다.
0,아무것도 생각하고 싶지 않다.
0,막막하고 불안하다.
0,불안해서 한숨도 못잤다.
0,불면증이 생겼나 보다.
0,잠을 얼마 못자서 피곤하다.
0,벼락치기 하느라고 잠을 거의 못 잤다.
0,잠을 못 자서 정신이 이상해지는 거 같다.
0,잠을 못 자서 정신이 하나도 없다.
0,아침에 일어나는 게 너무 힘들다.
0,잠이 쏟아진다. 눈이 안 떠진다.
0,요새 재미있는 게 하나도 없다.
0,자꾸 극단적으로 생각하게 된다.
0,스트레스 때문에 못살겠다.
0,앞으로를 생각하면 그냥 살기가 싫다.
0,자살하고 싶다.
0,유서를 썼다.
0,그냥 죽고 싶다.
0,그냥 죽었으면 좋겠다.
0,친구가 못되게 군다.
0,우리 반 선생님은 정말 최악이다.
0,영어 선생님은 수업을 정말 못한다.
0,역대 최악의 성적을 받을 거 같다.
0,시험을 역대급으로 못봤다.
0,시험을 볼 때마다 너무 긴장된다.
0,시험 볼 때 땀이 너무 많이 나서 시험지가 젖었다.
0,시험 보기 전에 항상 배가 아프다.
0,요새 소화가 잘 안된다.
0,올해 유난히 몸이 안좋다.
0,자꾸 여기저기 아프다.
0,몸이 약해졌나 보다.
0,아무래도 건강이 나빠진 거 같다.
0,허리가 심각하게 아프다.
0,허리가 아파서 제대로 걸을 수가 없다.
0,다리가 저려서 앉아있기 힘들다.
0,맨날 앉아있으니까 건강이 안 좋아진다.
0,건강에 무리가 온 거 같다.
0,몸을 잘 못챙기고 있다.
0,자꾸 뭘 먹으면 토한다.
0,병원에 가봐야겠다.
0,병원에 갔는데 의사 선생님한테 혼났다.
0,의사가 몸을 잘 챙겨야 된다고 했다.
0,손이 자꾸 떨린다.
0,목이랑 어깨가 너무 아프다.
0,어깨가 딱딱하게 굳어서 맨날 아프다.
0,책만 보고 있으니까 목이 안 좋아진다.
0,나는 자세가 진짜 안 좋은 거 같다.
0,감기에 걸려서 컨디션이 안좋다.
0,내일 시험인데 컨디션이 영 별로다.
0,이제 곧 시험기간인데 상태가 안좋다.
0,내일도 시험이 있는데 머리가 아프다.
0,공부해야 되는데 머리가 아파서 못했다.
0,머리가 지끈지끈하다.
0,이제 두통이 일상이 된 거 같다.
0,머리가 아파서 약을 먹었다.
0,머리가 아픈데 약도 없고 어떻게 해야 될지 모르겠다.
0,집에 아무도 없어서 들어가기 싫다.
0,집에 가면 혼자 밥 먹어야 돼서 우울하다.
0,집에 가도 아무도 나를 기다리는 사람이 없다.
0,집에서 나를 반겨주는 사람이 없다.
0,가족들은 나한테 관심이 없다.
0,우리 가족은 서로 관심이 없다.
0,우리 가족은 하나같이 이기적인 사람밖에 없다.
0,우리 가족은 대화를 별로 안한다.
0,우리 집은 예전부터 사이가 안좋았다.
0,부모님이 맨날 싸우신다. 듣기 싫다.
0,부모님이 맨날 소리를 질러서 공부에 집중할 수가 없다.
0,집을 나가고 싶다.
0,가출하고 싶다.
0,부모님이 싸울 때마다 동생이랑 밖에 나간다.
0,부모님이 싸울 때마다 우울해진다.
0,동생이랑 또 싸웠다. 동생이 정말 싫다.
0,우리 언니는 나랑 정말 안맞는 거 같다.
0,우리 언니는 너무 얄밉다.
0,오빠가 자꾸 장난이라면서 때린다. 아프다.
0,오빠가 죽었으면 좋겠다.
0,누나가 자꾸 심부름을 시켜서 짜증난다.
0,형이 틈만 나면 나를 괴롭힌다.
0,형이 자꾸 잔소리한다. 용돈도 안주면서.
0,우리 형은 나이만 많지 할 줄 아는 게 없다.
0,동생이 자꾸 부모님 속을 썩인다.
0,동생이 학교에서 적응을 못하는 거 같아 걱정된다.
0,동생이 학교에서 왕따를 당한다고 했다. 속상하다.
0,동생 때문에 부모님이 너무 속상해하신다.
0,부모님이 속상해하시니까 나도 마음이 안 좋다.
0,마음이 너무 아프다.
0,유튜브에서 슬픈 영상을 봐서 울었다.
0,기분 나쁜 문자를 받았다.
0,모르는 번호로 자꾸 전화가 온다. 무섭다.
0,부모님이 나한테 거는 기대가 큰 거 같아서 부담스럽다.
0,우리 부모님은 나한테 아무런 기대도 하지 않으신다.
0,"엄마, 아빠는 나를 못 믿는다."
0,내가 가족들한테 신뢰를 못 주나 보다.
0,나는 우리 집의 골칫덩어리 같다.
0,우리 가족은 나만 미워한다.
0,할머니가 나 때문에 속상해하셨다.
0,선생님이 나 때문에 속상하다고 말하셨다.
0,할아버지 건강이 안 좋아지셔서 슬프다.
0,할아버지가 곧 돌아가실 것 같다. 마음의 준비를 해야겠다.
0,돌아가신 할아버지가 보고 싶다.
0,할머니를 자주 볼 수 없어서 속상하다.
0,할머니가 많이 아프시다.
0,친구랑 싸워서 같이 밥 먹을 사람이 없다.
0,급실실에서 혼자 밥을 먹는데 내가 너무 초라하게 느껴졌다.
0,요새 죽음에 대해서 많이 생각하게 된다.
0,인간관계가 너무 어렵다.
0,인간관계가 만병의 근원인 거 같다.
0,인간관계 때문에 정말 스트레스 받는다.
0,믿을 만한 사람이 한 명도 없다.
0,주위에 믿을 수 있는 친구가 없다.
0,나를 진심으로 걱정해 주는 사람이 한 명도 없다.
0,친구들 때문에 속상하다.
0,친구들과 관계가 이미 어긋난 거 같다.
0,친구들이 내 말을 잘 안 들어준다.
0,한 친구가 자꾸 나를 무시하는 말을 한다.
0,믿을 사람이 나밖에 없는 거 같다.
0,나를 좋아해주는 사람이 아무도 없다.
0,아무랑도 말하고 싶지 않다.
0,아무도 나한테 관심이 없다.
0,친구들이 나를 좋아했으면 좋겠다.
0,너무 외롭고 힘들다.
0,마음이 쓸쓸해진다.
0,인간관계는 도대체 어떻게 해야 좋아질 수 있는 걸까?
0,다른 사람에 대해 생각하고 싶지 않다.
0,다른 사람들은 나한테 상처만 준다.
0,사람이 아무도 없는 곳에서 살고 싶다.
0,나는 너무 예민하다.
0,예민한 내 자신이 싫다.
0,자꾸 예민해지니까 스트레스 받는다.
0,예민하게 굴고 싶지 않다.
0,잠을 못 자니까 신경이 날카로워진다.
0,신경이 날카로워질 때마나 내가 싫어진다.
0,내 자신이 혐오스럽다.
0,내 모습이 싫다.
0,다 망했으면 좋겠다.
0,난 정말 불행하다.
0,나보다 불행한 사람은 없을 거 같다.
0,자꾸 누군가를 미워하게 된다.
0,나는 미움이 가득한 사람이다.
0,나는 왜 이렇게 못됐을까?
0,담임은 정말 못됐다.
0,우리 엄마는 심보가 고약한 사람이다.
0,엄마처럼 살고 싶지 않다.
0,우리 아빠보다 폭력적인 사람은 없을 거다.
0,우리 아빠는 화가 너무 많다.
0,우리 가족은 서로 미워하기만 한다.
0,우리 가족은 정말 답이 없다.
0,앞으로 절대로 지금보다 나아질 일은 없을 것이다.
0,미래에 대해 생각하고 싶지 않다.
0,화병이 날 거 같다.
0,스트레스 때문에 다 그만두고 싶다.
0,화가 많아졌다.
0,화가 머리 끝까지 난다.
0,화가 너무 많이 나서 이성적으로 생각할 수가 없다.
0,하루종일 짜증만 냈다. 나는 왜 이럴까?
0,나도 내 자신이 이해되지 않는다.
0,나도 나를 잘 모르겠다.
0,다 사라졌으면 좋겠다.
0,이 세상엔 나를 미워하는 사람들만 있다.
0,사람들은 다 가식적이다.
0,사람들은 다 거짓말쟁이다.
0,솔직하게 얘기할 수 있는 사람이 없다.
0,나도 솔직해지고 싶은데 잘 안 된다.
0,친구가 부러워서 배아프다.
0,친구가 질투난다.
0,잘난 척하는 친구 때문에 짜증난다.
0,나는 자존감이 너무 낮다.
0,나는 너무 소극적이다.
0,할 말이 있어도 제대로 못하는 내가 싫다.
0,나는 내가 이해가 안 된다.
0,나는 왜 이 모양일까?
0,나는 왜 이 정도밖에 안 되는 사람일까?
0,나는 가진 게 하나도 없다.
0,나는 잘 하는 게 하나도 없다.
0,나는 도대체 뭘 잘 할 수 있을까?
0,나는 내가 싫다.
0,공부를 잘 하고 싶은데 나랑은 먼 얘기같다.
0,나도 선생님한테 인정 받고 싶다.
0,우리 부모님은 칭찬에 인색하다.
0,우리 부모님은 너무 냉정하고 차갑다.
0,"엄마, 아빠는 나한테 관심이 없다."
0,아빠는 너무 바빠서 내가 뭘 좋아하는지도 모른다.
0,나를 보살펴줄 수 있는 사람이 없다.
0,나를 사랑하는 사람이 아무도 없다.
0,내 곁에는 친구밖에 없다.
0,친구들 말고는 아무도 믿을 수 없다.
0,좋아하는 친구한테 무시당했다.
0,그 친구랑 사이가 안 좋다.
0,그 친구랑은 말도 안 하고 지낸다.
0,그 친구는 나를 안 좋아하는 거 같다.
0,친구가 나를 싫어하는 거 같다.
0,친구가 나한테 거리를 둔다.
0,친구가 자꾸 나를 귀찮게 한다.
0,선생님이 자꾸 말을 걸어서 짜증난다.
0,쓸데없는 것 좀 안 시켰으면 좋겠다.
0,학교에서 하는 건 다 쓸데없다.
0,쓸데없는 얘기만 해서 짜증났다.
0,오늘은 유난히 욕을 많이 했다.
0,욕 없이는 말을 못 한다.
0,요새 욕을 너무 많이 한다. 반성해야겠다.
0,숙제를 제대로 못 했다.
0,숙제가 너무 많아서 힘들다.
0,너무 힘들어서 집에 가자마자 쓰러졌다.
0,할 일이 너무 많아서 어떻게 해야 할지 모르겠다.
0,나는 정말 바보같다.
0,나는 왜 이렇게 멍청할까?
0,친구가 정말 생각 없이 말을 한다.
0,세상에 생각 없이 사는 사람이 정말 많다.
0,다 짜증나고 그만두고 싶다.
0,학교를 때려치고 싶다.
0,자퇴를 하는 게 낫지 않을까?
0,나는 새로운 환경에 적응을 잘 못 하는 거 같다.
0,새 학기가 시작됐다. 너무 긴장된다.
0,마음이 항상 초조하고 불안하다. 누가 도와줬으면 좋겠다.
0,나를 도와줄 수 있는 사람이 있긴 있을까?
0,심장이 너무 빠르게 뛰어서 진정이 안 된다.
0,불안해서 살 수가 없다.
0,걱정이 늘어서 자꾸 나도 모르게 한숨을 쉰다.
0,부모님이 나랑 얘기하면서 자꾸 한숨을 쉬신다.
0,어른들은 왜 나만 보면 한숨을 쉴까?
0,나도 이렇게 모자란 사람이고 싶지 않다.
0,나는 어딘가가 고장난 사람같다.
0,나는 누구랑 비교해도 부족한 사람이다.
0,나는 잘난 게 하나도 없다.
0,무기력하고 우울하다.
0,며칠째 기운이 하나도 없다.
0,친구들이 놀자고 해도 나가기 싫다.
0,아무도 만나고 싶지 않다.
0,삶의 낙이 없다.
0,나를 즐겁게 하는 게 없다.
0,벌써 며칠째 늦잠을 자고 의욕 없이 보내고 있다.
0,아무것도 하고 싶지 않고 그냥 누워있고 싶다.
0,나는 정말 게으르다.
0,게으르고 할 줄 아는 것도 없는 내가 싫다.
0,계획은 많이 세웠는데 지킨 게 없다.
0,엄마는 나를 왜 이렇게 키운거야.
0,태어나지 않았으면 좋았을 텐데.
0,아빠는 정말 무책임하다.
0,하루종일 상태가 엉망이다.
0,제대로 한 게 없다.
0,전에 했던 행동이 후회된다.
0,내가 왜 그랬는지 모르겠다.
0,좋지 않은 기억들만 자꾸 떠오른다.
0,예전의 기억들이 나를 괴롭힌다.
0,다 잊어버리고 싶다. 아무것도 기억하고 싶지 않다.
0,너무 긴장해서 발표를 망쳤다.
0,성적이 떨어져서 걱정이다.
0,내 가치는 성적에 달린 거 같다.
0,조원이 발표 준비를 제대로 안해서 화가 났다.
0,친구가 내 필기노트를 잃어버렸다. 미친 거 아니야?
0,시험을 앞두고 감기에 걸렸다. 망했다.
0,팀원들 중에 뭔가를 하는 사람이 나밖에 없다.
0,팀원들이 다 의욕이 없다. 나보고 어쩌란 거야?
0,아무래도 발표는 이미 망한 거 같다. 예감이 안 좋다.
0,과제가 너무 어려워서 어떻게 시작해야 할지 모르겠다.
0,또 나만 열심히 한다. 나는 왜 이렇게 운이 안 좋지?
0,시험범위가 너무 많다. 어디서부터 잘못된 걸까.
0,역시 벼락치기를 하는 게 아니였다. 오늘도 후회했다.
0,진로를 정하기가 어렵다.
0,어떤 일을 하고 싶은지 확신이 서지 않는다.
0,내가 무엇을 좋아하는지 갈팡질팡한다.
0,내가 하고 싶은 것을 부모님이 반대한다.
0,부모님은 날 믿어주지 않는다.
0,친구들과 비교가 돼서 속상하다.
0,비가 와서 날이 우중충하니 나까지 기분이 안 좋아졌다.
0,비가 와서 신발이 젖어서 짜증났다.
0,차가 물웅덩이를 지나가며 나에게 물을 많이 튀겨서 짜증났다.
0,습해서 씻어도 찝찝하다.
0,친구들이 성적을 물어보며 귀찮게 한다.
0,역사 공부가 제일 어렵고 졸립다.
0,국어 시간에 졸아서 혼났다.
0,수업에 집중이 안 되고 학교에 있기 싫다.
0,학교에서 배우는 게 없는 것 같다. 자퇴하고 싶다.
0,친구들이 이유없이 나를 괴롭힌다. 매일매일이 힘들다.
0,카페 직원이 쌀쌀맞게 대답해서 기분이 상했다.
0,오늘 교실을 청소하는데 누가 물을 흠뻑 뿌려놔서 넘어질 뻔 했다. 미친거 아니냐고.
0,누가 날 무시하는 게 제일 싫다. 자기가 뭔데 날 무시해.
0,자전거를 도둑맞았다. 가다가 넘어져라.
0,사람들이 자꾸 나와 언니를 비교한다. 언니가 밉다.
0,어떤 사람이 날 치고 갔다. 나도 똑같이 복수해줬다.
0,학원 골목길에 담배 냄새가 너무 심하다. 담배 연기 다 피는 사람들 몸으로 들어가야 한다.
0,학원 진도가 너무 빠른데 나만 못 따라가는 것 같다. 내가 멍청이인 것 같다.
0,동생이 내 옷을 입고 나갔다. 죽여버릴까
0,급식에 오이가 나와서 토할 뻔 했다.
0,오이 냄새 진짜 싫고 혐오스럽다.
0,나는 체육을 못 해서 체육 시간에 뒤쳐지고 체육 선생님한테 혼난다.
0,체육 시간이 다가오는 것이 매번 무섭고 두렵다.
0,교실에서 역한 냄새가 난다.
0,헛구역질 날 것 같아. 진짜 짜증난다.
0,담임쌤 너무 별로다.
0,학생들을 존중해주지도 않고 심지어 때리기까지 한다.
0,누가 자꾸 에어컨을 틀어서 학원이 너무 추웠다.
0,감기 걸리기만 해봐. 진짜 짜증나.
0,애인이 짜증나는 소리를 반복한다.
0,내가 듣기 싫다고 했는데도 계속 한다. 나에 대한 배려가 없다.
0,내가 청국장을 싫어한다고 몇 번을 말했는데도 엄마는 자꾸 까먹는다. 매번 엄마랑 다투게 된다.
0,눈이 와서 학교 가는 길에 요란하게 넘어졌다.
0,사람들이 비웃으면서 지나갔다. 쪽팔려 죽는 줄 알았다.
0,숙제가 어려워서 자꾸 못 해가고 있다. 공부하기 싫다.
0,공부를 왜 해야 할까.
0,동생이 자꾸 나를 방해한다.
0,화장실에서 울었는데 그런 내 자신이 불쌍해서 서러웠다.
0,학원에 냄새나는 애가 있는데 가까이 가기조차 싫다.
0,별거 아닌거에 목숨 거는 사람들이 제일 한심하다. 난 저렇게 되지 말아야지.
0,거짓말하는 사람이 제일 꼴보기 싫다. 어차피 드러날 거짓말을 왜 하는걸까
0,골목에서 쥐를 봤다. 너무 징그러웠고 끔찍했다.
0,일찍 나왔는데도 버스가 늦게 와서 지각했다.
0,모든 일에 의욕이 생기지 않고 기운이 없다.
0,나한테 공부하라고 하는 사람들 다 사라졌으면 좋겠다.
0,동생이 사라졌으면 좋겠다.
0,애들도 다 싫어하는게 보이는데 본인은 모르는 것 같다.
0,내가 잘못한 것도 아닌데 벌 청소 받으니까 억울하고 짜증난다.
0,할 게 있는 데 안 하는 내 자신이 한심하다.
0,되는 일이 없다.
0,세상은 바보같다.
0,나빼고 다 잘되는 것 같다.
0,나만 실패하는 것 같다.
0,세상에는 내 편이 없다.
0,친구가 나랑 멀어졌는데 이유를 모르겠다.
0,멀어진 사이는 다시 회복하기 힘들겠지?
0,세상에 나만 혼자 있는 것 같다.
0,노력해도 이룬 것이 없다.
0,노력에 대한 댓가가 없다.
0,공부한만큼 성적이 나오지 않는다.
0,항상 게으른 내가 싫다.
0,부모님은 나한테 해준 것도 없으면서 생색만 낸다.
0,사랑받지 못하는 것 같다.
0,은근히 다들 나를 싫어하는 티를 낸다.
0,하는 일마다 실패한다.
0,하는 것마다 다 떨어진다.
0,또 탈락의 고배를 마셨다.
0,날씨가 꿉꿉해서 짜증이 난다.
0,해를 보지 못하니 화만 난다.
0,길이 막혀서 결국 학교에 늦었다.
0,역겨운 냄새 때문에 힘들었다.
0,하루종일 무기력한 기분때문에 힘들었다.
0,서글픈 감정이 좀처럼 사라지지를 않는다.
0,할머니가 아프셔서 너무 걱정된다.
